,tweet_id,date,time,lang,country_code
959,1356106651015671811,2021-02-01,05:06:35,en,
960,1356106651535892480,2021-02-01,05:06:35,en,
961,1356106655562252290,2021-02-01,05:06:36,en,
962,1356106659916079104,2021-02-01,05:06:37,en,
964,1356106661073575940,2021-02-01,05:06:37,en,
967,1356106662134865921,2021-02-01,05:06:38,en,
968,1356106664353652737,2021-02-01,05:06:38,en,
970,1356106666312421376,2021-02-01,05:06:39,en,
971,1356106666597613572,2021-02-01,05:06:39,en,
972,1356106669030137856,2021-02-01,05:06:39,en,
976,1356106677221814272,2021-02-01,05:06:41,en,
979,1356106680849883142,2021-02-01,05:06:42,en,
980,1356106682972172290,2021-02-01,05:06:43,en,
981,1356106688491737088,2021-02-01,05:06:44,en,
